SurveyYear,OutputFileName,Section,FinalDocName,FinalVariableDescription,ResponseCode,ResponseText,Question,Type,RecodeFlag,VariableName,Instrument Out Variable Name,FinalItemText,FinalDocUniverse,FinalDocUniverseDescription,DocSources,DocRecodes,DocKeywords,DocNotes,Qbank
2017,Sample Adult,IDN,RECTYPE,File type identifier,,,IDN.000_00.000,, ,RECTYPE,,Record Type,,,None,None,None,None,
2017,Sample Adult,IDN,,File type identifier,10,Household,,,,,,,,,,,,,
2017,Sample Adult,IDN,,File type identifier,20,Person,,,,,,,,,,,,,
2017,Sample Adult,IDN,,File type identifier,25,Income Imputation,,,,,,,,,,,,,
2017,Sample Adult,IDN,,File type identifier,30,Sample Adult,,,,,,,,,,,,,
2017,Sample Adult,IDN,,File type identifier,38,Functioning and Disability,,,,,,,,,,,,,
2017,Sample Adult,IDN,,File type identifier,40,Sample Child,,,,,,,,,,,,,
2017,Sample Adult,IDN,,File type identifier,60,Family,,,,,,,,,,,,,
2017,Sample Adult,IDN,,File type identifier,63,Family Disability Questions,,,,,,,,,,,,,
2017,Sample Adult,IDN,,File type identifier,65,Paradata,,,,,,,,,,,,,
2017,Sample Adult,IDN,,File type identifier,70,Injury/Poisoning Episode,,,,,,,,,,,,,
2017,Sample Adult,IDN,,File type identifier,75,Injury/Poisoning Verbatim,,,,,,,,,,,,,
2017,Sample Adult,IDN,SRVY_YR,Year of National Health Interview Survey,,,IDN.000_02.000,, ,SRVY_YR,,Survey Year,,,None,None,None,None,
2017,Sample Adult,IDN,,Year of National Health Interview Survey, Year,Survey Year,,,,,,,,,,,,,
2017,Sample Adult,IDN,HHX,Household Number,,,IDN.000_04.000,, ,HHX,,Household Number,,All households,None,None,household number,Use this variable in combination with SRVY_YR to identify individual households.,
2017,Sample Adult,IDN,FCTRLNUM,Family identifier,,,IDN.000_05.000,, ,CTRLNUM,,Control Number,,All families,None,None,None,Not for public-use release.  Family identifier: this variable identifies individual family.ÿ (Do not confuse this variable with variable CTRLNUM in the previous years.ÿ CTRLNUMÿwas a household identifier.  This variable no longer exists.),
2017,Sample Adult,IDN,HHID,"HH identifier, first 18 characters of FCTRLNUM",,,IDN.000_15.000,, ,HHID,,Household ID,,All households,None,None,None,Not for public-use release.,
2017,Sample Adult,IDN,HHLDID,"HH identifier, first 17 characters of FCTRLNUM",,,IDN.000_20.000,, ,HHLDID,,Household ID,,All households,None,None,None,Not for public-use release.  Use this variable to match to the Unit Control File (UCF).,
2017,Sample Adult,IDN,,"HH identifier, first 17 characters of FCTRLNUM",ID,Household ID (for merging to UCF),,,,,,,,,,,,,
2017,Sample Adult,IDN,INTV_QRT,Interview Quarter,,,IDN.000_25.000,, ,INTV_QRT,,Interview Quarter,,All households,None,None,None,None,
2017,Sample Adult,IDN,,Interview Quarter,1,Quarter 1,,,,,,,,,,,,,
2017,Sample Adult,IDN,,Interview Quarter,2,Quarter 2,,,,,,,,,,,,,
2017,Sample Adult,IDN,,Interview Quarter,3,Quarter 3,,,,,,,,,,,,,
2017,Sample Adult,IDN,,Interview Quarter,4,Quarter 4,,,,,,,,,,,,,
2017,Sample Adult,IDN,INTV_MON,Assignment/Interview Month,,,IDN.000_30.000,, ,INTV_MON,,Interview Month,,All households,None,None,interview month,None,
2017,Sample Adult,IDN,,Assignment/Interview Month,01,January,,,,,,,,,,,,,
2017,Sample Adult,IDN,,Assignment/Interview Month,02,February,,,,,,,,,,,,,
2017,Sample Adult,IDN,,Assignment/Interview Month,03,March,,,,,,,,,,,,,
2017,Sample Adult,IDN,,Assignment/Interview Month,04,April,,,,,,,,,,,,,
2017,Sample Adult,IDN,,Assignment/Interview Month,05,May,,,,,,,,,,,,,
2017,Sample Adult,IDN,,Assignment/Interview Month,06,June,,,,,,,,,,,,,
2017,Sample Adult,IDN,,Assignment/Interview Month,07,July,,,,,,,,,,,,,
2017,Sample Adult,IDN,,Assignment/Interview Month,08,August,,,,,,,,,,,,,
2017,Sample Adult,IDN,,Assignment/Interview Month,09,September,,,,,,,,,,,,,
2017,Sample Adult,IDN,,Assignment/Interview Month,10,October,,,,,,,,,,,,,
2017,Sample Adult,IDN,,Assignment/Interview Month,11,November,,,,,,,,,,,,,
2017,Sample Adult,IDN,,Assignment/Interview Month,12,December,,,,,,,,,,,,,
2017,Sample Adult,IDN,FMX,Family Number,,,IDN.000_35.000,, ,FX,,Family Number,,All families,None,None,family number,Use this variable in combination with HHX and SRVY_YR to identify individual families.,
2017,Sample Adult,IDN,,Family Number,01-25,Family number 1 - 25,,,,,,,,,,,,,
2017,Sample Adult,IDN,FPX,Person Number (Within family),,,IDN.000_40.000,, ,FPX,FPX,Person Number,,All persons,None,None,person number,"Use this variable in combination with HHX, FMX, and SRVY_YR to identify individual persons.",
2017,Sample Adult,IDN,,Person Number (Within family),01-25,Person number 1 thru 25,,,,,,,,,,,,,
2017,Sample Adult,IDN,WTIA_SA,Weight - Interim Annual,,,IDN.000_65.000,, ,WTIA_SA,,,,,None,None,None,"Format of data has an implied decimal (XXXXXX.X). This weight does not include post stratification adjustments (age, race/ethnicity, sex) to the civilian, non-institutionalized U.S. adult population using Census population controls.",
2017,Sample Adult,IDN,WTFA_SA,Weight - Final Annual,,,IDN.000_70.000,, ,WTFA_SA,,,,,None,None,None,"This weight should be used for most sample adult analyses when using a full year of data.  This weight includes post-stratification adjustments (age, race/ethnicity, sex) using Census Bureau population control totals.  The sum of these weights is equal to",
2017,Sample Adult,UCF,MSASTAT,MSA Status,,,UCF.000_00.000,R08,RECODE,,,,,,None,None,None,Not for public-use release. Data from Unit Control File (CBSAMSASTAT). 2013 metropolitan area definitions.,
2017,Sample Adult,UCF,,MSA Status,1,In a Metropolitan Statistical Area (MSA) and in the principal city of the MSA.,,,,,,,,,,,,,
2017,Sample Adult,UCF,,MSA Status,2,"In a MSA, but not in the principal city.",,,,,,,,,,,,,
2017,Sample Adult,UCF,,MSA Status,3,"In a MSA,  but cannot determine if in the principal city or not",,,,,,,,,,,,,
2017,Sample Adult,UCF,,MSA Status,4,Not in a MSA city,,,,,,,,,,,,,
2017,Sample Adult,UCF,REGION,Region,,,UCF.000_00.000,R09,RECODE,,,,ALL,All records,None,None,united states; region,Data from Unit Control File (CENREG).,
2017,Sample Adult,UCF,,Region,1,Northeast,,,,,,,,,,,,,
2017,Sample Adult,UCF,,Region,2,Midwest,,,,,,,,,,,,,
2017,Sample Adult,UCF,,Region,3,South,,,,,,,,,,,,,
2017,Sample Adult,UCF,,Region,4,West,,,,,,,,,,,,,
2017,Sample Adult,UCF,STRAT_D,Stratification PSU Stratum Code,,,UCF.000_00.000,R11,RECODE,,,,ALL,All records,None,None,None,Not for public-use release.  Not for variance estimation.  Sample design stratification variable.  Data from first four characters of Unit Control File variable SPSUSTRAT.,
2017,Sample Adult,UCF,,Stratification PSU Stratum Code,0100-5600,0100-5600,,,,,,,,,,,,,
2017,Sample Adult,UCF,PSU_D,Stratification PSU (Primary Sampling Unit) Code,,,UCF.000_00.000,R12,RECODE,,,,ALL,All records,None,None,None,Not for public-use release.  Not for variance estimation.  Sample design PSU variable.  Data from Unit Control File variable SPSU.,
2017,Sample Adult,UCF,,Stratification PSU (Primary Sampling Unit) Code,01001-56045,01001-56045,,,,,,,,,,,,,
2017,Sample Adult,UCF,ISTRAT,Pseudo-stratum for inhouse variance estimation,,,UCF.000_00.000,R13,RECODE,,,,ALL,All records,None,None,None,Not for public-use release.  Pseudo-stratum variable for inhouse variance estimation.  Created by NCHS/ORM.,
2017,Sample Adult,UCF,,Pseudo-stratum for inhouse variance estimation,100-259,100-259,,,,,,,,,,,,,
2017,Sample Adult,UCF,IPSU,Pseudo-PSU for inhouse variance estimation,,,UCF.000_00.000,R14,RECODE,,,,ALL,All records,None,None,None,Not for public-use release.  Pseudo-PSU variable for inhouse variance estimation.  Created by NCHS/ORM.,
2017,Sample Adult,UCF,,Pseudo-PSU for inhouse variance estimation,001-054,001-054 (with some gaps),,,,,,,,,,,,,
2017,Sample Adult,UCF,PSTRAT,Pseudo-stratum for public-use file variance estimation,,,UCF.000_00.000,R15,RECODE,,,,ALL,All records,None,None,None,Pseudo-stratum variable for public use file variance estimation.  Created by NCHS/ORM.,
2017,Sample Adult,UCF,,Pseudo-stratum for public-use file variance estimation,100-151,100-151,,,,,,,,,,,,,
2017,Sample Adult,UCF,PPSU,Pseudo-PSU for public-use file variance estimation,,,UCF.000_00.000,R16,RECODE,,,,ALL,All records,None,None,None,Pseudo-PSU variable for public use file variance estimation.  Created by NCHS/ORM.,
2017,Sample Adult,UCF,,Pseudo-PSU for public-use file variance estimation,001-164,001-164 (with some gaps),,,,,,,,,,,,,
2017,Sample Adult,HHC,SEX,Sex,,,HHC.110_00.000,, ,SEX,SEX,[Are/Is] [you/person] male or female?,HHSTAT NE 'D',All non-deleted persons,None,None,None,None,
2017,Sample Adult,HHC,,Sex,1,Male,,,,,,,,,,,,,
2017,Sample Adult,HHC,,Sex,2,Female,,,,,,,,,,,,,
2017,Sample Adult,HHC,HISPAN_I,Hispanic subgroup detail,,,HHC.180_00.000,R03,RECODE,,,Please give me the number of the group that represents [your/ person's] Hispanic origin or ancestry.,AGE = All,All persons,ORIGIN_I; HHC.180,None,ethnicity; national origin; ancestry,"""Other-specify"" responses were assigned to specific groups where possible.  Respondents who selected the generic ""Hispanic/Spanish"" response category were assigned ""09"", and in cases where the respondent refused to answer Hispanic origin or didn't know it",
2017,Sample Adult,HHC,,Hispanic subgroup detail,00,Multiple Hispanic,,,,,,,,,,,,,
2017,Sample Adult,HHC,,Hispanic subgroup detail,01,Puerto Rico,,,,,,,,,,,,,
2017,Sample Adult,HHC,,Hispanic subgroup detail,02,Mexican,,,,,,,,,,,,,
2017,Sample Adult,HHC,,Hispanic subgroup detail,03,Mexican-American,,,,,,,,,,,,,
2017,Sample Adult,HHC,,Hispanic subgroup detail,04,Cuban/Cuban American,,,,,,,,,,,,,
2017,Sample Adult,HHC,,Hispanic subgroup detail,05,Dominican (Republic),,,,,,,,,,,,,
2017,Sample Adult,HHC,,Hispanic subgroup detail,06,Central or South American,,,,,,,,,,,,,
2017,Sample Adult,HHC,,Hispanic subgroup detail,07,"Other Latin American, type not specified",,,,,,,,,,,,,
2017,Sample Adult,HHC,,Hispanic subgroup detail,08,Other Spanish,,,,,,,,,,,,,
2017,Sample Adult,HHC,,Hispanic subgroup detail,09,"Hispanic/Latino/Spanish, non-specific type",,,,,,,,,,,,,
2017,Sample Adult,HHC,,Hispanic subgroup detail,10,"Hispanic/Latino/Spanish, type refused",,,,,,,,,,,,,
2017,Sample Adult,HHC,,Hispanic subgroup detail,11,"Hispanic/Latino/Spanish, type not ascertained",,,,,,,,,,,,,
2017,Sample Adult,HHC,,Hispanic subgroup detail,12,Not Hispanic/Spanish origin,,,,,,,,,,,,,
2017,Sample Adult,HHC,RACERPI2,OMB groups w/multiple race,,,HHC.200_01.000,R13,RECODE,,,Recode of full detail race groups,AGE = All,All persons,RACFULI2,HRACERI2,race; new OMB race standards,"This recode contains detail for the 5 OMB race groups, and a multiple race group.  This recode does not include information provided in HHC.220 for multiple race mentions (the ""primary"" race). ""Other Race"" and ""Unspecified Multiple race"" are no longer ava",
2017,Sample Adult,HHC,,OMB groups w/multiple race,01,White only,,,,,,,,,,,,,
2017,Sample Adult,HHC,,OMB groups w/multiple race,02,Black/African American only,,,,,,,,,,,,,
2017,Sample Adult,HHC,,OMB groups w/multiple race,03,AIAN only,,,,,,,,,,,,,
2017,Sample Adult,HHC,,OMB groups w/multiple race,04,Asian only,,,,,,,,,,,,,
2017,Sample Adult,HHC,,OMB groups w/multiple race,05,Race group not releasable*,,,,,,,,,,,,,
2017,Sample Adult,HHC,,OMB groups w/multiple race,06,Multiple race,,,,,,,,,,,,,
2017,Sample Adult,HHC,MRACRPI2,Race coded to single/multiple race group,,,HHC.200_01.000,R21,RECODE,,,Recode,AGE = All,All persons,HHC.200; HHC.220,None,race; old OMB race standards,"This variable identifies the primary or main race reported by the respondent.  Data came from HHC.200 and HHC.220. ""Other Race"" and ""Unspecified Multiple race"" are no longer available as separate race responses.  These response categories are treated as m",
2017,Sample Adult,HHC,,Race coded to single/multiple race group,01,White,,,,,,,,,,,,,
